Title,Plot
Tiger,The movie Tiger is a Kannada action packed thriller film led by the young star Pradeep (protagonist) who dreams to become a police officer which is against the wish of his father played by the well known actor and also a very famous Ex IAS officer K Shivram. Why is the father against the wish and the dream of his son is the crux of the story.
Putani Safari,"Putani safari is a story about two little boys who were reared `in different environments. It is about their struggle to overcome the dangers in a forest. Rohit is a child who lives in the city, his parents have blessed him all riches and want him to realize how fortunate he is. Rohits parents want him to be well educated and use all the opportunities available in the city and want him to a class toper. But Rohit is always distracted in watching T.V and playing with friends. Rohit bargains his way that if he becomes a class topper again, they should take him on a wild animal safari. Siddesha ia child born to parents of a forest tribe,he is an ambitious child wants to go school and be educated but his parents don’t believe in him.siddesh’s mother send him on an errand to sell guavas near the school. Siddesh offers a guava to a student in return for her to teach him to read and write. His mother observes abilibilt to learn on his own and tries to enroll him to school. But her husband robs her savings and spends them on exiler. Poor siddesh finds out about this and runs in the forest to hide his tears. Rohit and his parents call on the forest management. On their forest ride a Jumbo attacks them, and Rohit is separated from his parents. He falls down on a mountain slope and hit his head and lies down unconscious there. Siddesh finds Rohit and together they fight the adventures on their safari. It is as if the Goddess of the forest teaches them what is life"
Dhairyam,"Dhairyam movie is about Ajay (Ajay Rao) a state level rank student who comes from a lower middle class back ground is always in financial crunch,[5] but his parents even though poor could somehow manage to give him good education
Meanwhile, Ajay falls in love with Parimala, whose parents are very practical about relationships imposes many term's and condition to get married to him, but Ajay is already in too much of burden as he has to arrange money for his father's cancer operation, so the story is all about how he manages these hurdles."
Operation Alamelamma,Mr.Parmesh aka Parmi (Rishi) an orphan meets the son of a rich businessman John and plans to loot money from his own father Mr.Kennady for the operation of Parmi's girlfriend's mother (Aruna Balaraj) and for the marriage of John's Driver Ramu Kaka. John runs away from his home and claims to be kidnapped and asks his father to give money. To escape from Police's eye Parmi himself locks in the Police's custody dramatically. Finally Parmi and John gets money and makes a big kidnapper as the victim of the case.
Vismaya,"Ranjith Kalidoss (Arjun) is a Deputy Superintendent of Police (DSP) in CB-CID, who along with his partners Inspector Joseph (Prasanna) and Inspector Vandana (Varalaxmi Sarathkumar) takes on high profile cases. Counter to his high intensity job, Ranjith has a peaceful family life with a wife, Shruti, a daughter, a younger brother, Sandeep and their family dog.
Ranjith's boss assigns his team a task to pursue a group of five criminals, who continue to avoid justice with their influence and power. Ranjith suggests a more direct approach to taking them out, but his boss declines to go along.
Before they could pursue the current assignment, they get dragged into another mystery. A parcel arrives at the police station one day that contains a small horse doll hanging on a noose. The figure has 4 holes but otherwise no other clues. Not thinking much of it, the team decides to ignore. A few days later, a local communist leader goes missing. He is later found in warehouse hanging from the ceiling, tortured, shot, and his face covered in an animal mask, very much like the doll they received.
The killer continues to taunt the team, sending them clues as he kills more people, which includes a lawyer and a doctor. Ranjith follows one of the clues and finds the killer. But before he could take him down, the tremors he has been experiencing lately slows him down. The killer knocks out Ranjith and gets away. When his team arrives, they inform him about a dead body in one of the buildings. But, Ranjith already knows and describes what he would find without seeing it.
Back at the office, Ranjith manages to piece things together and connects the serial killings to a case he investigated earlier. Emmanuel (Suman) and his wife (Suhasini) are a rich couple in town lived with their 16 year old daughter and a caretaker. The couple were very successful business people, but had very little time for their daughter. The caretaker took care of their daughter. One day, the couple came home to find their daughter murdered and the caretaker missing. The house had been ransacked. The police close the case concluding it was a burglary gone bad and the caretaker is on the run.
A local communist leader pushes to reopen the case, which lands with Ranjith. He quickly focuses the attention on Emmanuel. He sees a new golf club in his bag and his investigation leads to the missing golf club with the caretaker's blood on it. He interrogates Emmanuel and his wife with the evidence and they confess the truth. They came home one day to find the caretaker having sex with their daughter. Emmanuel, in anger hits him with the club and kills him. When their daughter threatens to call the police, her mom tries to stop her. In the scuffle, she accidentally falls on a sharp object and dies. Not able to wiggle their way out and driven by guilt, Emmanuel and his wife hang themselves.
Ranjith concludes the people that are killed were all involved in the case, and he himself is the next target. His boss takes over the case and tells Ranjith to get medical help for his condition. His team continues the investigate looking for a connection between Ranjith's case and the murders. There were no other family members that could be the murderer. Emmanuel has a nephew, Christopher (Krishna in Tamil and Karthik Jayaram in Kannada), but he lives in the US.
Ranjith gets admitted to the hospital, where as he continues to look at clues, he concludes it must be Christopher, as he has the motive, means and the know how. After checking with immigration services, they find Christopher did arrive in India not too long ago. A police officer went to Christopher's house to investigate and finds all the clues, but before he could alert his team, he is killed. Christopher baits Ranjith's team and captures Joseph and Vandana. Having no choice, Ranjith leaves the hospital to meet Christopher at a warehouse. There, he finds Joseph and Vandana standing on the floor with nooses around their necks.
After a long struggle, Ranjith manages to overpower Christopher and hangs him. The press arrives at the site, and Ranjith tells them Christopher is another victim of the serial killer.
A few days later, Joseph and Vandana meet Ranjith at his house and ask him why he didn't inform the press that Christopher was the serial killer. Ranjith then reveals his plan about their earlier assignment. He plans to kill the five criminals and blame it on the serial killer and also frame the last of them as the serial killer himself. During the closing end credits, it is shown that his plan worked."
Mass Leader,"The movie revolves around the life of Captain Shivraj (Shiva Rajkumar). The film opens with the issue of Bangladeshi infiltrators thriving in Bengaluru with the help of the politicians who practice vote-bank politics. Shivraj, along with his two associates Viji and Guru,drives out Bangladeshi infiltrators by spreading widespread rumours that they are going to be attacked. He also locks horns with the corrupt Chief Minister of Karnataka (Prakash Belawadi) and also takes strong actions against drug mafia and other illegal activities. An underworld Don from Mangaluru is tasked to kill Shivraj, but he later turns a loyalist.
In the second half of the film, flashback happens were Shivraj is a patriotic Indian Army captain in Kashmir with a loving wife (Pranitha Subhash) and his siblings, parents and a child. His sister unknowingly falls for an Pakistani . The family is slayed by a terror plot, leaving his child handicapped. The rest of the story is how Shivraj avenges the deaths of his parents, wife and sister, by finishing off the terrorist leader behind the plot.
The movie tells us that a leader is not one who gives away notes to get votes, but, a leader is one who stands at the border and fights for the entire nation![7]"
Kidi,"Bhuvan (R Bhuvan Chandra) is short-tempered, with an anger management problem. He is married to Nandhini (Pallavi Gowda) and works in a bank in Bangalore."
Uppu Huli Khara,"The story revolves around a bank robbery and the hunt to find the culprits. Story takes comical twists and turns when the investigating officer is left on wild goose chase. The plot thickens when the investigating officer gets an anonymous call from a girl. The girl reveals the identity and details of three boys who have committed the crime. The investigating officer arrests three youth under suspicion. The Young boys being Vijay Suriya a medical aspirant, Sharath a police aspirant and Dhananjay a Fast-food supplier. The investigating officer faces pressure as this case creates huge momentum on digital media, news rooms and dailies, huge debates and Speculations breaks out. The media attention catches the eyes of the local MLA and other politician who in turn starting interfering in the investigation. Will the investigating officer get to the bottom of the crime, are the boys the real criminals and what happens to the stolen assets of the bank."
Chamak,Dr.Kush (Ganesh) a gynecologist is a man who want to chill with his friends. He has fear of marrying someone due to which his freedom would be lost. Listening to the words of one of his friend he agrees to act as innocent and marries an innocent girl Kushi (Rashmika Mandanna). Later he came to know that Kushi was also acting like him so will Kushi come to know that Kush was cheating. They both tries to get divorce while they agrees to stay together by seeing the sad faces of their family. Then they become great friends and later it turns to love. Before confessing their love they were given divorce by the Court. But after Kushi came to know that she was pregnant. She decides to keep her baby. Dramatically Dr.Kush delivers his own baby and they start living together.
Marupuram,"Sethu, Manu, Koshy and Varky are thick friends. One night after partying, they decide to go out to see a friend of Sethu who was leaving for US the next day. On the way they find out that someone has dumped the body of a girl in their car's boot. Not sure what do, they kept driving thinking that they may find some way to dispose off the body. But they were soon stopped by Police sub Inspector Rajiv Kumar who found out that all four are drunk. On checking the car, Rajiv finds out the body of the girl. The girl's body is immediately shifted to hospital in the police jeep while Rajiv started question the four friends. All four claimed that they know nothing about the girl. Rajiv was still suspicious and he threatens four of them that they may land up in jail for killing the girl. Rajiv then give an option to settle out the case for 10 Lakhs. The four friends agree and they give 10 Lakh in cash to Rajiv the next day afternoon. Thus the case was somehow brought to a closure
Three days later, Manu was stopped by Police while driving for using mobile phone. There he again meets the sub inspector Rajiv Kumar who issues a fine for him. But the Rajiv Kumar whom he met that day was different from the person whom four of them met 3 days earlier. Manu realized that they were fooled by someone - the Rajiv Kumar which all four of them met three days back was an imposter.
Manu comes back and discuss this with Koshy and Varky. They try to find out details on the girl whose body was found in their car. They come to know that the girl's name is Merin Jose. They search for the girl's details in Facebook and finds out that Sethu is one of her friends. They were shocked upon realizing that one among the four of them (Sethu) was actually part of the plot. How the remaining three friends go about from here and how Rajiv Kumar reaches the real culprit is the plot of Marupuram"
Style,"Tom, a young auto mechanic falls in love with Diya whom he sees one day from the bus. The love got blossomed and at one point a psychopath named Edger came into the life of this couple after an unfortunate accident. The incident lead to a scenario where Edger got humiliated and the movie is basically about the rivalry between Tom and Edger."
Malgudi Days,"The story happens in a winter season at a hill station near Vagamon. The landmark of the place is Malgudi National Public School which has “winter vacation” in place of summer vacation. The two child characters are Atheena and Milan pursuing their studies in this school.
Atheena:-9 years old girl who is under depression after the accidental death of her father and is referred to this school by a psychiatrist to recover from the haunting memories of her father’s demise, but carries his spectacles with her.
Milan:(Vishal Krishna)-9 years old boy who is troublesome for the entire staff and other children in the school because of his mischievous nature. Milan and Atheena, though poles apart in character, soon become friends. In fact, it is the diversity in their nature which brings them together.
Zephan:- The lead role in the movie who is an escaped convict now. A flash back shows that he is an artist and craftsman by profession and was living happily with his wife and daughter, in a nearby village. One night when their daughter is away, his life turns topsy-turvy, after giving shelter to 4 unknown men in his house. What ensues is a series of unfortunate incidents and now he is on the run for his life, trying to evade police arrest. He seeks refuge in an abandoned house adjacent to the school.
Atheena and Milan accidentally meet Zephan at the deserted house behind the school. Though frightened in the beginning, later they feel sympathetic for him as he is badly injured. Even though he is not disclosing his identity and his miseries, they get a feeling that he could be innocent. They start helping him with food, water and medicines which eventually builds up a strong emotional bond between them. He impresses them with his innovative art work (Origami style).
Advent of winter:- Principal declares vacation and Zephan realizes this would be best time for him to plan his escape. On the final day, Atheena realizes that she missed to take her father’s spectacles and she along with Milan gets down from the school bus and sneaks their way to the hostel room. By chance, security locks the hostel without realizing that children are inside.
The second half of the movie is about the 48 hours of their struggle to escape from the hostel room surviving the thirst, hunger, cold and fear. What happens to Zephan? Will he succeed in proving his innocence? What happens to children in the end? The answers to these questions form the climax of the movie. Milan tries to escape by using the bathroom window and he falls on the roof below. Meanwhile, Zephan comes back to the school after he saw the news reporting that Atheena and Milan were missing. He sees Milan lying on the roof and calls out to him. Milan accidentally falls and Zephan catches him. Then Zephan goes and finds Atheena and he lays them on the stairs leading to the school office. He walks to the nearest shop to get them water but it is closed. He then sees the police standing nearby and for the sake of the children he gives in and then the police finds the kids and takes them to the hospital. The kids wake up later and they are taken by their parents. While going, Atheena sees Zephan sitting on a rock with the police standing behind him. She tells her mother to stop and she runs out with her mother running behind her. The police shoots Zephan in the head and he dies. Atheena hears the shot and stops and her mother takes her to car and they go home."
Aalroopangal,Aalroopangal narrates the effects of hartal in the life of common man. Nandu[2] does the lead role as a roadside food vendor.The film plots how an unexpected declaration of hartal changes his life.[3]
Pavada,"An alcoholic duo, met at a de-addiction center helps each other to arrange their lives back together with their persistent illness. Pambu Joy's (Prithviraj) married life is in a muddle due to his alcoholism. Pavada Babu's (Anoop Menon) life is in pieces due to a film he produced in which Sicily, Joy's mother, was the heroine. For financial gain the film was adulterated by his friend Eldho (Shajon). Eldho intends to re-release the film's 3D extended version. Both Pambu Joy and Pavada Babu fights through their alcoholism to stop the re-release of the film due to the added pain that will cause for Babu and to Joy's mother Sicily."
Monsoon Mangoes,"In a sleepy suburb of New Orleans, D.P 'David' Pallikkal an ambitious young man in his early 30s heartfelt aim is to be a film director. He attempts to make a film named ""Monsoon Mangoes"" after producing some unsuccessful short films. For this venture David ropes in an old Bollywood actor who was a hero in 2-3 films, who now lives to make ends meets. His attempts to create The Seventh Seal sort of art film and results in failure. He returns to a regular job. Though he tries to adjust with that life premonitions of his film pulls him back and he finally attempts to re-edit the film with clippings from the lead actors personal items. He tries to re-invent the actor's own life experience and stories for his ""Monsoon Mangoes"". For this he uses a clip which he recently recorded before the actor's death as the center piece and material from his original film. The clip is a monologue of the actor expressing that ""cinema is not above a life and there are three types of people. Firstly, those who consider having a job and family is everything. Secondly, those find what they do is not enough and expands there horizons and makes contributions to the society and thirdly there are people who tries to expand there horizons and fails, but pursue them and fall in the journey before reaching the destination."" David orchestrates a public viewing for his film and a lot of people attends and appreciates it. This makes David happy in realizing his dream."
2 Penkuttikal,"The film discusses issues faced by young girls and women in today's society. Achu and Anagha are close friends, who decide to bunk their class to visit a mall in the city. Their visit to the city changes their life and what happens next forms the crux of the film."
Amoeba,"Amoeba is all about a woman from Kasargod, who lives amidst fears of contamination by Endosulfan. The film captured two contrasting images of life in an IT hub in Bangalore with that of life in Endosulfan struck Kasargodu.[3][4]"
Action Hero Biju,"The story opens as sub-inspector Biju Poulose (Nivin Pauly) is informed of the location of a few wanted criminals in his jurisdiction. As he corners and apprehends them, he gets injured when one of the criminals stabs him. The story cuts back to a month before the incident when Biju and other officers handle a series of different types of complaints and cases, petty and major, that is registered at the police station.
Biju receives a call from the hospital informing him of a twelve-year-old girl who gets mauled by a dog when she tried to pluck some fruits from a highly influential businessman's house. Eyewitnesses report that the businessman had purposely let the dog out and Biju sets out to his house to arrest the said person. However, some local politicians try to use their political power to avoid the registration of the case and Biju refuses to do so. Biju tracks the culprit to a club and arrests him.
The next complaint tackled is lodged by a lady who is yet to receive her pending salary. When Biju tries to mediate a negotiation between the employers and the lady, the employers act callously which enrages Biju. He threatens them by shutting down their company for registration inaccuracies if the dues are not paid and the employers immediately comply.
Later, Biju encounters a case of suicide attempt and missing of a Navy personnel who goes after to rescue the woman and child. During the subsequent search operation, he and his sub-ordinates manage to save the life of the woman but the child dies as the people who rescued the child from the river thought she died and emergency services didn't take her to the hospital on time. This emotionally affects Biju and the search for the missing Navy man fails. Throughout the course of the next few days, he handles different types of cases including that of an auto driver who stalks a woman he loves, bikers without helmet and a drunkard who steals a wireless-set from a careless police officer.
When investigating a substance abuse and battering case by an adolescent he goes after the rising narcotic sales that targets school children, he discovers a group of teenagers purchasing marijuana from a notorious criminal during random vehicle checks. He arrests them in the presence of the magistrate and takes them to police station and uses third degree interrogation on the criminal and informs the parents of the teenagers. Biju after giving warnings lets them off without registering the case to avoid spoiling their future. Later he solves a case regarding eloping of a timid Pavithran's wife with their daughter.
Biju tackles a case assigned by his superiors whereby some jewelries stolen from a house. Deducing from the clues and circumstances, Biju suspects the housemaid is the thief. He visits her and during interrogation, finds flaws in her alibi. They confirm her as the culprit and arrests her. Meeting her husband and children, a child is a respected SPC student cadet whom he knows; Biju faces moral dilemma when he comes to know the mother did it to pay school fees. Biju half-heartedly follows the law and takes her to station. The film cuts back to the scene in the beginning of the movie. Through an informant he finds out the location of a murderer and his cohorts in hiding. While pursuing to arrest, gets stabbed by one of them. Biju successfully manages to prevent them from escaping until the rest of the police force arrives.
As he is treated for his wounds in the hospital, he jokes with his fiancee that injuries are common in his occupation and that she is free to marry someone else. Later, it is shown that he survived and that he is apprehending another gang of criminals. In the middle of this his father calls and informs him that his wife has given birth to a daughter. He joyfully receives the news but continues his assigned task of arresting the criminals. A voice over briefs that Biju is not a superhero but one of the many dedicated police officers in the state."
Maheshinte Prathikaaram,"Mahesh Bhavana is a small-time photographer who lives with his father, Vincent Bhavana. They run the digital photography Bhavana Studio in the Prakash region of Idukki district in Kerala. Next to the studio is a flex-board printing shop owned by Mahesh's good friend, Baby. His assistant Crispin is a Photoshop wizard who designs the flex-boards. Mahesh is in a relationship with Soumya, his high-school sweetheart.
Baby becomes involved in a trivial argument with a loafer in the centre of the village. The dispute escalates, but passersby calm them down. However, Crispin appears and attacks the man who had argued with Baby. The man, joined by Jimson Augustine, jumps on Crispin in retaliation. Noticing the commotion, Mahesh tries to calm everyone down but Jimson, furious at Mahesh's authoritative stance, beats him up. Vincent breaks up the fight. Embarrassed, Mahesh vows to get back at Jimson and pledges that he will wear slippers only after he has avenged his humiliation.
Soumya is forced to end her relationship with Mahesh. He learns about Jimson's whereabouts from Crispin and visits the garage where he apparently works as a welder. Its owner tells him that Jimson left for a better job in Dubai. Despite Baby's advice that he should forget the incident, Mahesh resolves to wait for Jimson's return; several weeks later, he enrolls in a kung fu course.
Jimsy Augustine, a young college student, goes to Bhavana Studio. She tells Mahesh that she wants to participate in Vanitha's cover competition and asks him to make her look as good as possible. Perplexed at the unusual request, Mahesh conducts the photo shoot. Jimsy's photograph turns out to be dull and unimpressive, and her irritation makes Mahesh question his skill as a photographer. Upset, he turns to his father for advice. Vincent explains photography as an art to his son. Mahesh goes through his father's photograph collection, finally understanding their angles and lighting, and gets an idea.
Instead of his familiar still photography, Mahesh photographs Jimsy in motion and sends the best photo to the magazine. Shortly afterward, Jimsy goes to Mahesh's house with the magazine containing her photo. Although she rebukes him for photographing her without permission, she also praises the photo. They become interested in each other, and soon fall in love. Jimsy realises this first, and calls Mahesh to talk about their future. She tells him that she is Jimson's younger sister, but his agitation is overshadowed by love and he decides to continue their relationship.
Several weeks later, Jimson is fired from his job for slapping his manager and is deported back to India. The following day, Mahesh and Baby challenge him to a hand-to-hand combat. After a few minutes of fighting, Mahesh pins down Jimson and Baby declares him the winner. Mahesh visits Jimson in a hospital on the next day and introduces himself to his mother in front of Jimsy. He admits his love for Jimsy and asks Jimson for his sister's hand in marriage, as Jimson and his mother look at each other in disbelief. In the credits, Mahesh is seen joining with Jimsy."
Puthiya Niyamam,"Louis Pothen is a television film critic, an artist, a divorce lawyer and also participates in a live TV channel named ""Kathrika"". His wife Vasuki Iyer is a Kathakali artist and they live together along with their school going daughter. They live away from their parents since their marriage was an inter-caste one.
Vasuki is raped by her two neighbors and their cloth presser. Vasuki is frightened to discuss with her husband about her being raped. Vasuki with DCP Jeena Bhai's telephonic assistance kills her rapists. Vasuki assures DCP that she would never have any contacts with her in the future and if they meet accidentally, would behave like strangers.
It is revealed that Louis was informed by Swami of his wife being raped. Swami had witnessed Vasuki being raped from his house but did not have the courage to save Vasuki since the rapists were notorious and drug addicts. Louis through a mobile software (which can transform a male voice to a female voice) mimicked DCP Jeena Bhai and guided Vasuki to murder her rapists . Louis never reveals the truth to Vasuki and decides to keep it as a secret so that they could lead a happy married life."
Hello Namasthe,"The story starts with two young RJs who are Madhav (Vinay Forrt) and Jerry (Sanju Sivram).They both are working as hosts for a radio show called Hello Namasthe. Jerry was invited to his ex-girlfriend Anna's (Miya) wedding. She was going to wed a man named Pappu Joseph Thadikkaran that day. Jerry went with Madhav and Abu (Soubin Shahir).After they see her bride groom Pappu, Jerry, Madhav and Abu don't like Pappu and Madhav and Abu persuade Jerry to ask Anna to go with them and Anna agrees. They drop Abu in his house and Madhav, Jerry and Anna go to Madhav's house. Jerry and Anna decide to get married. After that they all move to colony of villas. In the colony there was one Jackfruit tree between their houses which creates a fight between them.How they try to defeat each other forms the rest of the story."
Out of Range,"Jerin (Ajayaghosh), at crossroads with his stagnant love life; Subru Vishnu Unnikrishnan), fed up with his mom’s argumentative nature; Sanjay (Sumith Samudra), all against his reckless job schedule; Aashiq (Askar Ali), annoyed with unending family obligations - are four friends with instability in their lives. On one decisive night, the four friends take an unusual oath, to quit using their mobile phones forever. From the next daybreak, the world around them turns upside down. Sacking, break-up, and resentment follows. After the initial chaos, they seem to enjoy the peace, ease, and all the joys.
However, this is just the beginning of another story. A steely resolve for more adventure, more determination, more drama, and more blows. Will they live to tell the tale?"
Vettah,"Two members of the Indian Police Service (IPS), Commissioner Sreebala and Assistant Commissioner Xylex Abraham, investigate the disappearance of the actress Uma Sathyamoorthi. Sreebala and Xylex arrest Melvin, who is revealed to be a classmate of Uma's. During the interrogation, Melvin reveals that he had murdered his wife Sherin and covered it up as a drug-induced suicide in order to take revenge on her for her infidelity. They find that Uma was kidnapped because the guy she was with was the one who had been having an affair with Sherin. Melvin refuses to point out where he dumped their bodies.
Sreebala and Xylex are pulled off the case, though not before seeds of doubt are planted by Melvin. Sreebala begins to uncover clues about her father's accident, which had rendered him mentally challenged. Doubting that Xylex may have played some part in the scheme,Sreebala loses her trust in him. Xylex begins doubting his wife and soon takes it upon himself to murder the guy she hangs out with, echoing Melvin's own crime.
Soon, Melvin agrees to give up the bodies, provided Sreebala and Xylex take him there. They discover that Melvin hadn't actually killed them, and they were just being held hostage. Melvin is sentenced to the asylum, and the case is apparently closed. Xylex finds out that the guy who he had killed, Ronnie, was facilitating the adoption arrangements with Xylex's wife, and they'd been keeping it a surprise for him. His involvement in the murder is only known to Sreebala, who receives a video of the murder.
In a twist, Melvin's wife is found to be innocent of having an affair. It is revealed she was actually murdered, but not how Melvin described. Sreebala and Xylex approach Melvin, who reveals the whole story behind his actions. Because of low marks in exams, his daughter had been locked in a kennel by her headmistress.The girl died inside the kennel due to breathing problems and fear when the headmistress forgot to release her after the school time. The school owner, who is revealed to be Ronnie, had used his influence to silence the case and murdered Sherin in the process. The police officer in charge of the investigation was Sreebala's dad, and he was attacked because he had been close to finding out the truth. In pursuit of justice for his family, Melvin had set up the whole kidnapping drama to bring Xylex to investigate the case. Xylex was targeted because of his wife's friendship with Ronnie, and Sreebala through her dad. It is revealed that Melvin planted doubts in Xylex so he would murder Ronnie and made Sreebala accidentally kill the headmistress as they were driving through the forest, making him innocent of any murders."
Appuram Bengal Ippuram Thiruvithamkoor,"A Bengali family comes to Kerala and starts living in a portion of a rented house shared by Shibi, a painter and artist, Ambros, an auto driver and Josappen, a cook. The happy life of the three friends is thus interrupted by the arrival of Bengali family.[5][6]"
Darvinte Parinamam,"Anil Anto and his wife shift from Kottarakara and settle down with help of his friends in Kochi. They rent a small apartment and slowly settle down to their lives. Anil works for a cable TV company as a technician. Gorilla Darvin is a well known gangster who along with his brothers rule Kochi underworld. Anil's wife is pregnant and they are very happy. During a drive by Darvin's brother steals Anil's wives' chain and pushes her down causing an abortion. Their lives turns due to this incident. They complain to police to no avail. During an installation, he sees the person who caused this problem. He chases them and gets into a fight. He brutally beats him up and takes him to police. The Police inspector is a cousin of Darvin and abuses Anil for beating up a culprit. He then calls up Darvin to come pick his brother. Darvin picks his brother from the Police station and insults Anil by giving some money to Anil to get his wife a new chain. Anil slaps Darvin which causes a scene. Darvin retreats back. Anil then faces the wrath of Darvin. Darvin and gang slowly steal every belonging from Anil and leave them with just an empty apartment. Anil loses all his possessions. A friendly policeman then explains that this is Darvin's style of reacting and he cannot do anything about it. After all this, Anil takes help from a small-time gangster to try kidnap Darvin's kid and fails spectacularly in comedic fashion. They decide to kidnap Darvin's younger brother who is a film buff. They make a ransom call to Darvin only to be rebutted. While browsing through the photos on Gilli's phone, Anil finds the photo of a golden statue belonging to the church in their area. He realises that Darvin in the pretext of repairing the church has switched the golden one for a duplicate statue and holds the golden one in his chicken farm. Anil then steals this statue from the farm and starts negotiating with Darvin knowing that Darvin has a deal fixed to sell this statue to a foreign customer. He asks Darvin to give him his stuff, not new but the exact items stolen from him. Beginning a cat and mouse game pushing Darvin's patience. The final item is Anil's bike which was stolen from him and sold to Darvin's rival. Darvin fights with his rival (Solomon) to get the bike back. However, as Solomon tries to kill Darvin, Anil intervenes and helps Darvin out. Darvin initially plans to finish Anil for good once he tells him the location of the golden statue, however has a change of heart after Anil helps him out."
Kali,"Siddharth (Dulquer Salmaan) is quick to anger individual who occasionally gets into trouble due to his anger management problem. He is married to Anjali (Sai Pallavi) and works in a bank in Kochi. Their marriage begins to strain when Siddharth starts to pick fights over simple reasons. She requests him to start changing his habits and slowly their life begins to get better until Siddharth reacts violently against an annoying co-worker which embarrasses Anjali.
She leaves home in tears but Siddharth offers to drive her home in Masinagudi in Tamil Nadu. On the way, a trucker overtakes their car without warning that almost causes them to crash. A furious Siddharth follows the truck and the incident turns into a road rage. He successfully overtakes the truck but a shaken Anjali begs him to let it go. He obeys her and they continue on their way when Anjali informs him that she is starting to get afraid of his rage and plans to end their marriage.
They stop by a roadside eatery which is run by a ruthless gangster, John (Vinayakan), and his henchmen. Siddharth begins to lose temper at the man waiting for their table and his anger is aggravated when the trucker, Chakkara (Chemban Vinod Jose) who is John's friend, too stops by the eatery and begins to make Anjali uncomfortable. Siddharth, on Anjali's insistence, controls his anger while he is there. But at the cashier, manned by John, he refuses to pay for a glass of juice which had a dead fly in it. John offers him two options: leave without paying for anything or pay for everything.
Siddharth refuses and insists on paying for everything except the glass of juice. John relents but Siddharth finds out that he doesn't have any money on him or Anjali. Siddharth, now beginning to panic, offers to drive to the nearest ATM and get some cash but John and Chakkara demand that Anjali stays with them at the restaurant as security. He asks a terrified Anjali to drive to the nearest ATM. Though not proficient in driving, Anjali does so.
A while after she leaves, Chakkara too leaves the restaurant while a fearful Siddharth tries to contact Anjali. Anjali too is unable to contact Siddharth due to network failure and she fails to find any ATM. Behind her, she notices Chakkara's truck following her and honking relentlessly in order to scare her. She continues driving but is unable to escape as it is a one-way road.
Meanwhile, Siddharth, after waiting for a long time and fearing Anjali's safety, tries to escape the restaurant but is captured by the henchmen. In the ensuing commotion, he is attacked and falls unconscious. John and gang lock him in a room. Anjali keeps on driving with Chakkara right behind her. Another trucker who had noticed them two in the restaurant witnesses this.
Siddharth, now conscious, try to escape from the room and a young boy who was working in the restaurant helps him out. He steps into the middle of a ruckus. At the same time, Chakkara corners Anjali at a bend when her car gets stuck in the mud. He breaks the windows to rape Anjali and as he is about to drag her out of the car, the other trucker arrives on the scene with police which enables Anjali to escape from Chakkara's cruel intentions, who fled.
Anjali, with the help of the police, arrives back at the restaurant to find John critically injured and Siddharth with a knife. Siddharth is arrested and the police inform Anjali that he will be imprisoned if John dies. But John reports to the police that the person who stabbed him was the previous owner of the restaurant, from whom John took over the business by force. It is revealed that Siddharth had actually gone to the kitchen to get some water for John but when he heard the noise outside, he grabbed the knife for safety fearing that others had come to attack them.
Siddharth is let go and they drive to Anjali's house. On the way, she asks him why he had asked her to go alone and he confesses that he was really scared to leave her with them at the restaurant. He admits that it was his temper that got them into trouble and promises to work hard to control his anger issues, even though it cannot be done overnight. On the way, they see Chakkara and his truck which has broken down. Anjali stops the car and Siddharth, as the first step towards controlling his anger, decides to let him go but a furious Anjali refuses to forgive Chakkara. Siddharth steps out of the car with Anjali's existential approval and charges towards Chakkara."
Maanasaandarapetta Yezdi,"Pappi (Jayan Cherthala) is a well known mechanic. Pappi's elder brother Chethanappi (P. Balachandran) runs another workshop. Brothers always quarrel with each other. Fed up with their fights, villagers decided that they settle their quarrels with bike race. Their favorite Yezdi bike which was used for the races come to the possession of Philipose (Indrans). The comic turn of events that take place after this is the theme of the movie."
King Liar,"Sathyanarayan (Dileep) is a compulsive liar, who lies to his love interest Anjali that he is the managing director of a big firm, while instead he makes duplicate certificates with his roommate and friend Antappan. Into their lives comes Anand Varma (Lal), a Dubai- based rich fashion tycoon, who is on the verge of divorce with his wife Devika Varma (Asha Sarath). Meanwhile, Sathyanarayan realizes that Anjali is his childhood friend.
Anand does not want to lose Devika, so he hires Sathyanarayan to persuade Devika to step back from the divorce. Sathyan and Antappan fly to Dubai to join the company which is now owned by Devika. The first time, Devika kicks Sathyan out of the company, but later had to let him join. Amazed by Sathyan's business tricks, Devika later promotes him as the Assistant Manager.
As Devika was planning to appoint someone representing Devika in the Asian Beauty Contest, Sathyan persuades Anand to pick Anjali as his model. Devika finally finds Natasha as her representative, but Sathyan persuades Natasha to reunite Anand and Devika. In the end, Anjali wins the competition after explaining the consequences of being divorced in the Intelligence round, and Anand and Devika reunite. Anjali, after the competition, visits Sathyan who says his real name is Naran to Anjali. Sathyan confesses that Anjali is his childhood friend, and they both reunite."
